first_name,second_name,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,transfers_in,total_points,value_season
Emerson,Palmieri dos Santos,Defender,DEF,Chelsea,CHE,0.2,,1.0,,1.0,a,50,1022,0,19,3.8
Kepa,Arrizabalaga,Goalkeeper,GKP,Chelsea,CHE,2.3,,1.0,,1.0,a,50,2970,0,90,18.0
N'Golo,Kanté,Midfielder,MID,Chelsea,CHE,4.0,,1.0,,1.0,a,50,1730,0,57,11.4
Hakim,Ziyech,Midfielder,MID,Chelsea,CHE,3.5,,1.0,0.0,0.0,i,80,0,0,0,0.0
Ruben,Loftus-Cheek,Midfielder,MID,Chelsea,CHE,0.2,,1.0,,1.0,a,60,203,0,12,2.0
Andreas,Christensen,Defender,DEF,Chelsea,CHE,0.3,,1.0,,1.0,a,50,1751,0,34,6.8
Timo,Werner,Forward,FWD,Chelsea,CHE,48.9,,1.0,,1.0,a,95,0,0,0,0.0
Tammy,Abraham,Forward,FWD,Chelsea,CHE,5.5,,1.0,,1.0,a,75,2206,0,153,20.4
Christian,Pulisic,Midfielder,MID,Chelsea,CHE,9.4,,1.0,100.0,1.0,a,85,1717,0,127,14.9
Mason,Mount,Midfielder,MID,Chelsea,CHE,9.4,,1.0,,1.0,a,70,2865,0,137,19.6
Fikayo,Tomori,Defender,DEF,Chelsea,CHE,0.4,,1.0,,1.0,a,50,1291,0,48,9.6
Callum,Hudson-Odoi,Midfielder,MID,Chelsea,CHE,0.5,,1.0,,1.0,a,60,849,0,53,8.8
Reece,James,Defender,DEF,Chelsea,CHE,4.7,,1.0,,1.0,a,50,1510,0,61,12.2
Billy,Gilmour,Midfielder,MID,Chelsea,CHE,0.2,,1.0,0.0,0.0,i,45,191,0,9,2.0
Benjamin,Chilwell,Defender,DEF,Chelsea,CHE,1.5,,1.0,0.0,0.0,i,55,2374,0,114,20.7
Thiago,Thiago,Defender,DEF,Chelsea,CHE,4.1,,1.0,25.0,0.25,d,55,0,0,0,0.0
Kai,Havertz,Midfielder,MID,Chelsea,CHE,12.7,,1.0,,1.0,a,85,0,0,0,0.0
Michy,Batshuayi,Forward,FWD,Crystal Palace,CRY,1.7,,1.0,,1.0,a,60,224,0,28,4.7
Gary,Cahill,Defender,DEF,Crystal Palace,CRY,0.1,,1.0,0.0,0.0,i,45,2167,0,70,15.6
Wayne,Hennessey,Goalkeeper,GKP,Crystal Palace,CRY,0.9,,1.0,,1.0,a,45,270,0,7,1.6
Mamadou,Sakho,Defender,DEF,Crystal Palace,CRY,0.0,,1.0,0.0,0.0,i,45,929,0,11,2.4
Vicente,Guaita,Goalkeeper,GKP,Crystal Palace,CRY,1.5,,1.0,,1.0,a,50,3150,0,137,27.4
James,Tomkins,Defender,DEF,Crystal Palace,CRY,0.0,,1.0,0.0,0.0,i,45,1582,0,48,10.7
James,McArthur,Midfielder,MID,Crystal Palace,CRY,0.2,,1.0,,1.0,a,55,3091,0,92,16.7
James,McCarthy,Midfielder,MID,Crystal Palace,CRY,2.5,,1.0,,1.0,a,45,1668,0,41,9.1
Christian,Benteke,Forward,FWD,Crystal Palace,CRY,0.3,,1.0,0.0,0.0,i,55,1252,0,42,7.6
Cheikhou,Kouyaté,Midfielder,MID,Crystal Palace,CRY,0.2,,1.0,,1.0,a,50,2524,0,85,17.0
Joel,Ward,Defender,DEF,Crystal Palace,CRY,1.8,,1.0,,1.0,a,45,2380,0,77,17.1
Martin,Kelly,Defender,DEF,Crystal Palace,CRY,1.4,,1.0,,1.0,a,45,1547,0,64,14.2
Connor,Wickham,Forward,FWD,Crystal Palace,CRY,1.8,,1.0,0.0,0.0,i,45,90,0,15,3.3
Andros,Townsend,Midfielder,MID,Crystal Palace,CRY,0.3,,1.0,,1.0,a,60,1284,0,48,8.0
