first_name,second_name,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,transfers_in,total_points,value_season
David,Martin,Goalkeeper,GKP,West Ham,WHU,8.6,,1.0,,1.0,a,40,435,0,20,5.0
Darren,Randolph,Goalkeeper,GKP,West Ham,WHU,0.3,,1.0,,1.0,a,45,180,0,3,0.7
Lukasz,Fabianski,Goalkeeper,GKP,West Ham,WHU,1.8,,1.0,,1.0,a,50,2117,0,83,16.6
Angelo,Ogbonna,Defender,DEF,West Ham,WHU,0.4,,1.0,,1.0,a,50,2786,0,81,16.2
Roberto,Jimenez Gago,Goalkeeper,GKP,West Ham,WHU,0.0,,1.0,0.0,0.0,u,45,686,0,18,4.0
Jack,Wilshere,Midfielder,MID,West Ham,WHU,0.2,,1.0,,1.0,a,50,209,0,8,1.6
Aaron,Cresswell,Defender,DEF,West Ham,WHU,1.2,,1.0,,1.0,a,50,2727,0,79,15.8
Andriy,Yarmolenko,Midfielder,MID,West Ham,WHU,0.3,,1.0,,1.0,a,60,981,0,70,11.7
Michail,Antonio,Forward,FWD,West Ham,WHU,11.4,,1.0,,1.0,a,65,1767,0,111,17.1
Ryan,Fredericks,Defender,DEF,West Ham,WHU,0.8,,1.0,,1.0,a,45,2235,0,74,16.4
Manuel,Lanzini,Midfielder,MID,West Ham,WHU,0.1,,1.0,75.0,0.75,d,65,1370,0,50,7.7
Felipe Anderson,Pereira Gomes,Midfielder,MID,West Ham,WHU,0.6,,1.0,,1.0,a,65,1493,0,66,10.2
Sébastien,Haller,Forward,FWD,West Ham,WHU,0.7,,1.0,,1.0,a,65,2259,0,102,15.7
Arthur,Masuaku,Defender,DEF,West Ham,WHU,0.3,,1.0,,1.0,a,45,930,0,26,5.8
Fabián,Balbuena,Defender,DEF,West Ham,WHU,0.2,,1.0,,1.0,a,45,1176,0,40,8.9
Jordan,Hugill,Forward,FWD,West Ham,WHU,0.0,,1.0,0.0,0.0,u,55,0,0,0,0.0
Jarrod,Bowen,Midfielder,MID,West Ham,WHU,1.4,,1.0,,1.0,a,65,916,0,44,6.8
Albian,Ajeti,Forward,FWD,West Ham,WHU,0.0,,1.0,0.0,0.0,u,55,132,0,9,1.6
Declan,Rice,Midfielder,MID,West Ham,WHU,5.4,,1.0,,1.0,a,50,3420,0,105,21.0
Tomas,Soucek,Midfielder,MID,West Ham,WHU,6.5,,1.0,,1.0,a,50,1039,0,41,8.2
Pablo,Fornals,Midfielder,MID,West Ham,WHU,0.1,,1.0,,1.0,a,65,2167,0,93,14.3
Issa,Diop,Defender,DEF,West Ham,WHU,1.8,,1.0,100.0,1.0,a,45,2765,0,76,16.9
Ben,Johnson,Defender,DEF,West Ham,WHU,2.9,,1.0,,1.0,a,40,270,0,6,1.5
John,Ruddy,Goalkeeper,GKP,Wolves,WOL,0.4,,1.0,,1.0,a,45,0,0,0,0.0
João Filipe Iria,Santos Moutinho,Midfielder,MID,Wolves,WOL,3.4,,1.0,,1.0,a,55,3105,0,113,20.5
Rui Pedro,dos Santos Patrício,Goalkeeper,GKP,Wolves,WOL,6.7,,1.0,,1.0,a,55,3420,0,153,27.8
Ryan,Bennett,Defender,DEF,Wolves,WOL,0.4,,1.0,,1.0,a,45,932,0,32,7.1
Willy,Boly,Defender,DEF,Wolves,WOL,2.4,,1.0,,1.0,a,55,1980,0,97,17.6
Conor,Coady,Defender,DEF,Wolves,WOL,9.5,,1.0,,1.0,a,50,3420,0,118,23.6
Raúl,Jiménez,Forward,FWD,Wolves,WOL,19.1,,1.0,,1.0,a,85,3241,0,194,22.8
Romain,Saïss,Defender,DEF,Wolves,WOL,2.9,,1.0,,1.0,a,50,2703,0,103,20.6
Jonathan,Castro Otto,Defender,DEF,Wolves,WOL,0.1,,1.0,0.0,0.0,i,55,2885,0,123,22.4
Léo,Bonatini,Forward,FWD,Wolves,WOL,0.3,,1.0,,1.0,a,50,0,0,0,0.0
Leander,Dendoncker,Midfielder,MID,Wolves,WOL,2.6,,1.0,,1.0,a,50,2790,0,100,20.0
Adama,Traoré,Midfielder,MID,Wolves,WOL,20.7,,1.0,,1.0,a,65,2599,0,130,20.0
Rúben Diogo,da Silva Neves,Midfielder,MID,Wolves,WOL,2.7,,1.0,,1.0,a,55,3053,0,97,17.6
Oskar,Buur,Defender,DEF,Wolves,WOL,1.8,,1.0,,1.0,a,40,0,0,0,0.0
Diogo,Jota,Midfielder,MID,Wolves,WOL,3.7,,1.0,,1.0,a,65,2278,0,105,16.2
Daniel,Castelo Podence,Midfielder,MID,Wolves,WOL,0.3,,1.0,,1.0,a,55,285,0,25,4.5
Max,Kilman,Defender,DEF,Wolves,WOL,1.9,,1.0,,1.0,a,40,184,0,5,1.2
Rúben Gonçalo,Silva Nascimento Vinagre,Defender,DEF,Wolves,WOL,11.7,,1.0,,1.0,a,45,644,0,32,7.1
Matija,Sarkic,Goalkeeper,GKP,Wolves,WOL,0.2,,1.0,,1.0,a,45,0,0,0,0.0
Morgan,Gibbs-White,Midfielder,MID,Wolves,WOL,0.0,,1.0,0.0,0.0,n,50,125,0,11,2.2
Pedro,Lomba Neto,Midfielder,MID,Wolves,WOL,0.2,,1.0,,1.0,a,55,920,0,57,10.4
Bruno André,Cavaco Jordao,Midfielder,MID,Wolves,WOL,0.6,,1.0,,1.0,a,45,6,0,1,0.2
Leonardo,Campana,Forward,FWD,Wolves,WOL,0.3,,1.0,,1.0,a,50,0,0,0,0.0
Fabio,Silva,Forward,FWD,Wolves,WOL,1.2,,1.0,,1.0,a,55,0,0,0,0.0
Fernando,Marçal,Defender,DEF,Wolves,WOL,0.3,,1.0,,1.0,a,50,0,0,0,0.0
Vitor,Ferreira,Midfielder,MID,Wolves,WOL,0.0,,1.0,,1.0,a,50,0,0,0,0.0
