first_name,second_name,full_name,id,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,appearances,transfers_in,total_points,value_season
Jesse,Lingard,Jesse Lingard,301,Midfielder,MID,Man Utd,MUN,0.2,,1,,1,a,60,923,22,0,32,5.3
Jimmy,Dunne,Jimmy Dunne,519,Defender,DEF,Burnley,BUR,0.2,,1,,1,a,40,0,0,0,0,0
João,Virgínia,João Virgínia,167,Goalkeeper,GKP,Everton,EVE,0.1,,1,,1,a,45,0,0,0,0,0
João Filipe Iria,Santos Moutinho,João Moutinho,454,Midfielder,MID,Wolves,WOL,3.4,,1,,1,a,55,3105,38,0,113,20.5
João Pedro Cavaco,Cancelo,João Cancelo,277,Defender,DEF,Man City,MCI,0.9,,1,,1,a,55,1205,17,0,45,8.2
Joe,Bryan,Joe Bryan,182,Defender,DEF,Fulham,FUL,1.1,,1,,1,a,50,0,0,0,0,0
Joe,Hart,Joe Hart,482,Goalkeeper,GKP,Spurs,TOT,1,,1,100,1,a,45,0,0,0,0,0
Joel,Ward,Joel Ward,134,Defender,DEF,Crystal Palace,CRY,1.8,,1,,1,a,45,2380,29,0,77,17.1
Joel,Matip,Joel Matip,246,Defender,DEF,Liverpool,LIV,0.5,,1,,1,a,55,703,9,0,39,7.1
Joël,Veltman,Joël Veltman,67,Defender,DEF,Brighton,BHA,0.4,,1,,1,a,45,0,0,0,0,0
Joelinton Cássio,Apolinário de Lira,Joelinton,340,Forward,FWD,Newcastle,NEW,0.5,,1,,1,a,60,2678,38,0,78,13
Johann Berg,Gudmundsson,Jóhann Gudmundsson,90,Midfielder,MID,Burnley,BUR,0.1,,1,,1,a,55,617,12,0,30,5.5
John,McGinn,John McGinn,38,Midfielder,MID,Aston Villa,AVL,0.6,,1,,1,a,55,2312,28,0,84,15.3
John,Stones,John Stones,273,Defender,DEF,Man City,MCI,0.4,,1,,1,a,50,1118,16,0,34,6.8
John,Fleck,John Fleck,346,Midfielder,MID,Sheffield Utd,SHU,0.6,,1,,1,a,60,2515,30,0,101,16.8
John,Egan,John Egan,353,Defender,DEF,Sheffield Utd,SHU,17.6,,1,,1,a,50,3187,36,0,133,26.6
John,Lundstram,John Lundstram,355,Midfielder,MID,Sheffield Utd,SHU,13.6,,1,,1,a,55,2452,34,0,144,26.2
John,Ruddy,John Ruddy,453,Goalkeeper,GKP,Wolves,WOL,0.4,,1,,1,a,45,0,0,0,0,0
Jonas,Lössl,Jonas Lössl,151,Goalkeeper,GKP,Everton,EVE,0.2,,1,,1,a,45,0,0,0,0,0
Jonathan,Leko,Jonathan Leko,420,Midfielder,MID,West Brom,WBA,0.1,,1,0,0,u,45,0,0,0,0,0
Jonathan,Castro Otto,Jonny,462,Defender,DEF,Wolves,WOL,0.1,,1,0,0,i,55,2885,35,0,123,22.4
Jonjo,Shelvey,Jonjo Shelvey,321,Midfielder,MID,Newcastle,NEW,0.5,,1,75,0.75,d,55,2118,26,0,105,19.1
Jonjoe,Kenny,Jonjoe Kenny,160,Defender,DEF,Everton,EVE,0.2,,1,,1,a,45,0,0,0,0,0
Jonny,Evans,Jonny Evans,219,Defender,DEF,Leicester,LEI,0.1,,1,0,0,s,55,3384,38,0,128,23.3
Jordan,Ayew,Jordan Ayew,140,Forward,FWD,Crystal Palace,CRY,7.1,,1,,1,a,60,3148,37,0,132,22
Jordan,Pickford,Jordan Pickford,157,Goalkeeper,GKP,Everton,EVE,4.7,,1,,1,a,50,3420,38,0,117,23.4
Jordan,Stevens,Jordan Stevens,212,Midfielder,MID,Leeds,LEE,1.7,,1,,1,a,45,0,0,0,0,0
Jordan,Henderson,Jordan Henderson,244,Midfielder,MID,Liverpool,LIV,4.1,,1,75,0.75,d,55,2234,30,0,116,21.1
Jordan,Hugill,Jordan Hugill,444,Forward,FWD,West Ham,WHU,0,,1,0,0,u,55,0,0,0,0,0
Jorge Luiz,Frello Filho,Jorginho,105,Midfielder,MID,Chelsea,CHE,1.8,,1,,1,a,50,2376,31,0,92,18.4
José,Izquierdo,José Izquierdo,72,Midfielder,MID,Brighton,BHA,0,,1,0,0,i,55,0,0,0,0,0
José Diogo,Dalot Teixeira,Diogo Dalot,314,Defender,DEF,Man Utd,MUN,0.1,,1,,1,a,50,65,4,0,4,0.8
José Ignacio,Peleteiro Romallo,Jota,34,Midfielder,MID,Aston Villa,AVL,0.1,,1,,1,a,60,329,10,0,17,2.8
Joseph,Willock,Joseph Willock,20,Midfielder,MID,Arsenal,ARS,0.1,,1,,1,a,50,838,29,0,41,8.2
Joseph,Gomez,Joseph Gomez,260,Defender,DEF,Liverpool,LIV,5.1,,1,,1,a,55,1999,28,0,93,16.9
