first_name,second_name,id,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,transfers_in,total_points,value_season
Dennis,Praet,225,Midfielder,MID,Leicester,LEI,0.1,,1,,1,a,55,1122,0,54,9.8
Ricardo Domingos,Barbosa Pereira,226,Defender,DEF,Leicester,LEI,0.2,,1,0,0,i,60,2520,0,123,20.5
Daniel,Amartey,227,Defender,DEF,Leicester,LEI,1.4,,1,100,1,a,40,0,0,0,0
Youri,Tielemans,228,Midfielder,MID,Leicester,LEI,2.2,,1,,1,a,65,2823,0,117,18
Ayoze,Pérez,229,Midfielder,MID,Leicester,LEI,3.7,,1,,1,a,65,1998,0,129,19.8
Demarai,Gray,230,Midfielder,MID,Leicester,LEI,0.2,,1,,1,a,55,605,0,44,8
James,Maddison,231,Midfielder,MID,Leicester,LEI,1.8,,1,50,0.5,d,70,2624,0,125,17.9
Kelechi,Iheanacho,233,Forward,FWD,Leicester,LEI,0.7,,1,,1,a,60,953,0,64,10.7
Hamza,Choudhury,234,Midfielder,MID,Leicester,LEI,0.1,,1,,1,a,50,883,0,35,7
Harvey,Barnes,235,Midfielder,MID,Leicester,LEI,4.4,,1,,1,a,70,2075,0,133,19
Wilfred,Ndidi,236,Midfielder,MID,Leicester,LEI,2.2,,1,,1,a,50,2671,0,85,17
Filip,Benkovic,237,Defender,DEF,Leicester,LEI,0.2,,1,0,0,i,45,0,0,0,0
Çaglar,Söyüncü,238,Defender,DEF,Leicester,LEI,13.1,,1,,1,a,55,3036,0,120,21.8
James,Justin,239,Defender,DEF,Leicester,LEI,10.7,,1,,1,a,45,1010,0,35,7.8
Luke,Thomas,240,Defender,DEF,Leicester,LEI,0.5,,1,,1,a,45,267,0,15,3.3
Timothy,Castagne,498,Defender,DEF,Leicester,LEI,1.1,,1,,1,a,55,0,0,0,0
Nampalys,Mendy,518,Midfielder,MID,Leicester,LEI,0.2,,1,,1,a,45,288,0,11,2.4
Pablo,Hernández Domínguez,193,Midfielder,MID,Leeds,LEE,2.1,,1,,1,a,60,0,0,0,0
Francisco,Casilla Cortés,194,Goalkeeper,GKP,Leeds,LEE,2.8,,1,,1,a,45,0,0,0,0
Liam,Cooper,195,Defender,DEF,Leeds,LEE,0.9,,1,,1,a,45,0,0,0,0
Barry,Douglas,196,Defender,DEF,Leeds,LEE,16.2,,1,,1,a,40,0,0,0,0
Luke,Ayling,197,Defender,DEF,Leeds,LEE,4.1,,1,,1,a,45,0,0,0,0
Mateusz,Klich,198,Midfielder,MID,Leeds,LEE,0.6,,1,,1,a,55,0,0,0,0
Adam,Forshaw,199,Midfielder,MID,Leeds,LEE,0.1,,1,0,0,i,50,0,0,0,0
Stuart,Dallas,200,Defender,DEF,Leeds,LEE,4.7,,1,,1,a,45,0,0,0,0
Ezgjan,Alioski,201,Defender,DEF,Leeds,LEE,0.8,,1,,1,a,45,0,0,0,0
Patrick,Bamford,202,Forward,FWD,Leeds,LEE,4.3,,1,,1,a,55,0,0,0,0
Jack,Harrison,203,Midfielder,MID,Leeds,LEE,0.6,,1,,1,a,55,0,0,0,0
Kalvin,Phillips,204,Midfielder,MID,Leeds,LEE,2.5,,1,,1,a,50,0,0,0,0
